Date,Close,High,Low,Open,Volume,"('Close', 'BTC-JPY')","('High', 'BTC-JPY')","('Low', 'BTC-JPY')","('Open', 'BTC-JPY')","('Volume', 'BTC-JPY')"
2014-12-05,45753.84375,46033.90625,43824.88671875,44259.1484375,1843222338.0,,,,,
2014-12-06,45502.6484375,45947.37109375,45036.43359375,45742.06640625,851001541.0,,,,,
2014-12-07,45611.55078125,45681.84765625,45319.31640625,45508.83984375,789384640.0,,,,,
2014-12-08,43657.08203125,45710.0859375,43676.01953125,45595.7421875,2279750181.0,,,,,
2014-12-09,42030.29296875,43898.4296875,41076.765625,43655.390625,3927806615.0,,,,,
2014-12-10,40746.37890625,42046.4609375,40746.37890625,42028.62109375,1932554628.0,,,,,
2014-12-11,41706.7109375,42708.78125,40014.6875,40508.15625,3859000387.0,,,,,
2014-12-12,41881.98828125,41881.43359375,41499.26171875,41745.62109375,2018388240.0,,,,,
2014-12-13,41268.26953125,41862.86328125,41174.65625,41862.86328125,1387096920.0,,,,,
2014-12-14,41545.3203125,41896.2109375,41035.66015625,41191.16796875,1466855880.0,,,,,
2014-12-15,40664.375,41528.2421875,40640.12109375,41513.30078125,2032859550.0,,,,,
2014-12-16,38141.97265625,40766.40234375,38141.97265625,40702.99609375,3599464638.0,,,,,
2014-12-17,37979.796875,39039.22265625,36989.390625,38117.83203125,4461939483.0,,,,,
2014-12-18,37037.44140625,38340.09765625,36075.828125,37980.86328125,4659236620.0,,,,,
2014-12-19,37979.05859375,38061.5078125,36526.984375,37011.62890625,2846622219.0,,,,,
2014-12-20,39426.44140625,39470.53515625,37764.09765625,37952.29296875,2492167083.0,,,,,
2014-12-21,38347.15234375,39387.3671875,38105.72265625,39377.09375,1817612352.0,,,,,
2014-12-22,39872.78125,39933.6640625,38297.1953125,38374.046875,2680936114.0,,,,,
2014-12-23,40369.45703125,40610.015625,39572.015625,39888.5234375,1999842972.0,,,,,
2014-12-24,38826.640625,40393.1953125,38688.16796875,40346.89453125,1816811074.0,,,,,
2014-12-25,38402.18359375,38849.46875,38076.1640625,38796.7890625,1189792583.0,,,,,
2014-12-26,39478.7734375,39896.82421875,38052.234375,38419.51953125,1975660095.0,,,,,
2014-12-27,38026.74609375,39597.59765625,37637.52734375,39437.71875,1828146228.0,,,,,
2014-12-28,38198.75,38528.171875,37450.6796875,38062.50390625,1405979406.0,,,,,
2014-12-29,37717.3828125,38598.578125,37679.83984375,38254.375,1484050575.0,,,,,
2014-12-30,37123.75,37921.890625,37013.3828125,37723.29296875,1496756001.0,,,,,
2014-12-31,38317.49609375,38317.49609375,37122.94921875,37144.89453125,1668546843.0,,,,,
2015-01-01,37669.02734375,38346.45703125,37645.8203125,38346.45703125,963341249.0,,,,,
2015-01-02,37951.90625,38008.0625,37652.88671875,37648.65234375,946972506.0,,,,,
2015-01-03,33861.94921875,37966.12109375,33861.94921875,37929.5,3982063568.0,,,,,
2015-01-04,31806.4375,34602.59765625,31034.517578125,33869.65625,6697187349.0,,,,,
2015-01-05,32777.68359375,33492.7734375,31900.2109375,31913.46484375,5250037576.0,,,,,
2015-01-06,33959.1875,34077.90625,32396.287109375,32794.04296875,2758334762.0,,,,,
2015-01-07,35105.57421875,35617.453125,33626.95703125,33945.89453125,2965863236.0,,,,,
2015-01-08,33942.375,35072.66015625,33705.80078125,35081.484375,2393703675.0,,,,,
2015-01-09,34413.34765625,34529.03125,33515.27734375,33826.66015625,2218154100.0,,,,,
2015-01-10,32563.32421875,34143.05078125,32464.970703125,34045.40625,1808819550.0,,,,,
2015-01-11,31408.982421875,33137.1015625,31332.91015625,32541.048828125,2151880584.0,,,,,
2015-01-12,31688.298828125,32217.947265625,31617.14453125,31466.44140625,2234105899.0,,,,,
2015-01-13,26608.68359375,31721.07421875,25896.130859375,31640.734375,8581740330.0,,,,,
2015-01-14,20914.634765625,26376.951171875,20099.255859375,26376.951171875,11465713011.0,,,,,
2015-01-15,24364.986328125,26764.1875,20783.62890625,20773.015625,9494721549.0,,,,,
2015-01-16,24474.2890625,25828.646484375,23483.080078125,24275.119140625,4518693810.0,,,,,
2015-01-17,23434.96875,24901.68359375,22919.248046875,24443.357421875,2760271417.0,,,,,
2015-01-18,24733.763671875,25720.720703125,22875.849609375,23527.880859375,3537706909.0,,,,,
2015-01-19,25295.583984375,25489.37890625,24274.86328125,24866.875,2196641659.0,,,,,
2015-01-20,25074.638671875,25437.181640625,24337.30078125,25065.541015625,2853903526.0,,,,,
2015-01-21,26735.2734375,26851.6484375,24792.064453125,25082.11328125,3526015618.0,,,,,
2015-01-22,27707.626953125,27977.72265625,26732.798828125,26785.3515625,3982079466.0,,,,,
2015-01-23,27419.173828125,27662.392578125,26660.955078125,27720.802734375,2898958958.0,,,,,
2015-01-24,29181.505859375,29224.24609375,27082.791015625,27398.09765625,2917891550.0,,,,,
2015-01-25,29789.03125,30006.90625,28715.609375,29123.224609375,3942944807.0,,,,,
2015-01-26,32409.28515625,36556.8125,29884.771484375,29831.4140625,12656156940.0,,,,,
2015-01-27,31032.0859375,32666.419921875,29609.638671875,32373.01953125,5229314220.0,,,,,
2015-01-28,27501.38671875,31421.8125,26657.470703125,31017.482421875,5214488154.0,,,,,
2015-01-29,27615.248046875,28172.08203125,26070.501953125,27434.724609375,3809556684.0,,,,,
2015-01-30,26591.3515625,28612.705078125,26522.533203125,27527.6171875,3124514688.0,,,,,
2015-01-31,25538.97265625,27422.708984375,25403.330078125,26593.23046875,2742012608.0,,,,,
2015-02-01,26598.849609375,27082.580078125,24899.041015625,25468.861328125,3413568915.0,,,,,
2015-02-02,28010.966796875,28474.9375,26175.791015625,26542.48046875,3599370718.0,,,,,
2015-02-03,26738.080078125,28890.109375,26387.9765625,27919.83984375,4798202305.0,,,,,
2015-02-04,26607.587890625,26997.306640625,25989.623046875,26766.669921875,3119245447.0,,,,,
2015-02-05,25510.541015625,28127.693359375,25208.71484375,26702.826171875,2645677000.0,,,,,
2015-02-06,26440.763671875,27414.552734375,25366.17578125,25488.453125,2906823288.0,,,,,
2015-02-07,27093.615234375,27396.369140625,26481.328125,26484.421875,2570035632.0,,,,,
2015-02-08,26572.623046875,27293.9453125,26299.3203125,27086.359375,2039250088.0,,,,,
2015-02-09,26100.64453125,26579.3515625,25736.283203125,26569.888671875,3295492354.0,,,,,
2015-02-10,26239.984375,26483.755859375,25527.609375,26121.0390625,2520298336.0,,,,,
2015-02-11,26343.845703125,26683.61328125,26245.20703125,26227.2109375,2067496361.0,,,,,
2015-02-12,26369.958984375,26463.90234375,26163.73046875,26346.609375,1808169242.0,,,,,
2015-02-13,27952.248046875,28521.146484375,26316.90234375,26394.333984375,5075042612.0,,,,,
2015-02-14,30551.724609375,30847.005859375,27964.240234375,27964.240234375,5904739725.0,,,,,
2015-02-15,27845.548828125,31535.9921875,26944.125,30573.8046875,6705983592.0,,,,,
2015-02-16,27705.71875,28402.400390625,27162.009765625,27845.548828125,3335650376.0,,,,,
2015-02-17,29035.875,29261.970703125,27501.330078125,27655.837890625,3261407889.0,,,,,
2015-02-18,28051.896484375,29107.392578125,27595.021484375,29056.138671875,2991334960.0,,,,,
2015-02-19,28584.06640625,28868.26171875,27922.36328125,28061.8671875,2173458680.0,,,,,
2015-02-20,29012.138671875,29311.12109375,28445.470703125,28580.259765625,2841566067.0,,,,,
2015-02-21,29101.990234375,30385.634765625,28941.328125,29008.92578125,1461942642.0,,,,,
2015-02-22,28097.78125,29323.111328125,27868.0234375,29103.181640625,2325079890.0,,,,,
2015-02-23,28404.2578125,28529.75,27669.720703125,28099.923828125,1949960000.0,,,,,
2015-02-24,28376.04296875,28560.21484375,28190.9375,28416.86328125,1687859544.0,,,,,
2015-02-25,28213.810546875,28426.412109375,27980.962890625,28394.46484375,1365863522.0,,,,,
2015-02-26,28222.171875,28268.474609375,27857.84375,28198.009765625,1625747778.0,,,,,
2015-02-27,30334.984375,30598.171875,28206.814453125,28223.365234375,5260101189.0,,,,,
2015-02-28,30386.970703125,30438.240234375,29815.236328125,30298.17578125,1667080843.0,,,,,
2015-03-01,31180.005859375,31349.484375,29391.453125,30389.361328125,3021357671.0,,,,,
2015-03-02,33132.77734375,33219.66796875,30940.73046875,31198.578125,4863572483.0,,,,,
2015-03-03,33700.0078125,34212.63671875,32131.052734375,33057.77734375,6036685319.0,,,,,
